Importer,Year,Value,Ad val. duties,Number of lines,Albania
,(US$),Simple average,MFN duties,Pref. duties,Albania
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Albania
870891 -- Radiators and parts thereof,"15,188",3.88,0.00,4,,4,,Albania
870892 -- Silencers (mufflers) and exhaust pipes; parts thereof,"183,176",3.88,0.00,4,,4,,Albania
870893 -- Clutches and parts thereof,"136,903",3.75,0.00,2,,2,,Albania
"870894 -- Steering wheels, steering columns and steering boxes; parts thereof",258,3.88,0.00,4,,4,,Albania
870895 -- Safety airbags with inflater system; parts thereof,,3.67,0.00,3,,3,,Albania
870899 -- Other,"204,311",3.67,0.00,3,,3,,Albania
870911 -- Electrical,,3.00,0.00,2,,2,,Albania
870919 -- Other,,3.00,0.00,2,,2,,Albania
870990 - Parts,,3.50,0.00,1,,1,,Albania
"871000 Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",,1.70,0.00,1,,1,,Albania
871110 -With reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc,333,8.00,0.00,1,,1,,Albania
871120 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,,8.00,0.00,3,,3,,Albania
871130 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,"3,538",6.00,0.00,2,,2,,Albania
871140 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,"7,763",6.00,0.00,1,,1,,Albania
