Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
391290 - Other,"50,931",6.45,0.00,2,,2,,South Africa
"391310 - Alginic acid, its salts and esters","7,772",5.00,0.00,1,,1,,South Africa
391390 - Other,"3,817",6.50,0.00,1,,1,,South Africa
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",,6.50,0.00,1,,1,,South Africa
391510 - Of polymers of ethylene,"5,746",6.50,0.00,1,,1,,South Africa
391520 - Of polymers of styrene,,6.50,0.00,1,,1,,South Africa
391530 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,South Africa
391590 - Of other plastics,"225,105",6.50,0.00,2,,2,,South Africa
391610 - Of polymers of ethylene,,6.50,0.00,1,,1,,South Africa
391620 - Of polymers of vinyl chloride,398,6.50,0.00,1,,1,,South Africa
391690 - Of other plastics,"207,306",6.50,0.00,3,,3,,South Africa
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,"51,101",5.90,0.00,2,,2,,South Africa
391721 -- Of polymers of ethylene,"229,999",6.50,0.00,2,,2,,South Africa
391722 -- Of polymers of propylene,4,6.50,0.00,2,,2,,South Africa
391723 -- Of polymers of vinyl chloride,"15,726",6.50,0.00,2,,2,,South Africa
391729 -- Of other plastics,"91,095",6.50,0.00,1,,1,,South Africa
"391731 -- Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa","53,527",6.50,0.00,1,,1,,South Africa
"391732 -- Other, not reinforced or otherwise combined with other materials, without fittings","16,617",6.50,0.00,1,,1,,South Africa
"391733 -- Other, not reinforced or otherwise combined with other materials, with fittings","3,820",6.50,0.00,1,,1,,South Africa
391739 -- Other,"111,297",6.50,0.00,1,,1,,South Africa
391740 - Fittings,"376,264",6.50,0.00,1,,1,,South Africa
391810 - Of polymers of vinyl chloride,"152,913",6.50,0.00,2,,2,,South Africa
391890 - Of other plastics,"21,549",6.50,0.00,1,,1,,South Africa
391910 - In rolls of a width not exceeding 20 cm,"24,213",6.35,0.00,4,,4,,South Africa
391990 - Other,"4,214,613",6.50,0.00,1,,1,,South Africa
392010 - Of polymers of ethylene,"124,325",4.64,0.00,7,,5,,South Africa
392020 - Of polymers of propylene,"5,302,392",6.50,0.00,3,,3,,South Africa
392030 - Of polymers of styrene,"7,428",6.50,0.00,1,,1,,South Africa
392043 -- Containing by weight not less than 6 % of plasticisers,"8,013",6.50,0.00,2,,2,,South Africa
392049 -- Other,"15,853",6.50,0.00,2,,2,,South Africa
392051 -- Of poly(methyl methacrylate),997,6.50,0.00,1,,1,,South Africa
392059 -- Other,,3.25,0.00,2,,1,,South Africa
392061 -- Of polycarbonates,"21,421",6.50,0.00,1,,1,,South Africa
392062 -- Of poly(ethylene terephthalate),"1,471,885",4.33,0.00,3,,2,,South Africa
392063 -- Of unsaturated polyesters,,6.50,0.00,1,,1,,South Africa
